
[1] Train Loss: -0.2234 | Train Acc: 69.5093 | Val Loss: -0.4531 | Val Acc: 69.5000
[2] Train Loss: -0.5602 | Train Acc: 72.2370 | Val Loss: -0.5905 | Val Acc: 70.6167
[3] Train Loss: -0.6332 | Train Acc: 73.1444 | Val Loss: -0.6352 | Val Acc: 72.0667
[4] Train Loss: -0.6559 | Train Acc: 73.5630 | Val Loss: -0.6474 | Val Acc: 72.9000
[5] Train Loss: -0.6672 | Train Acc: 73.7722 | Val Loss: -0.6660 | Val Acc: 73.2833
[6] Train Loss: -0.6743 | Train Acc: 73.9981 | Val Loss: -0.6655 | Val Acc: 72.9833
[7] Train Loss: -0.6790 | Train Acc: 74.1296 | Val Loss: -0.6665 | Val Acc: 72.7500
[8] Train Loss: -0.6826 | Train Acc: 74.2389 | Val Loss: -0.6738 | Val Acc: 73.3167
[9] Train Loss: -0.6864 | Train Acc: 74.3426 | Val Loss: -0.6862 | Val Acc: 74.2833
[10] Train Loss: -0.6886 | Train Acc: 74.4556 | Val Loss: -0.6702 | Val Acc: 72.4667
