
[1] Train Loss: 0.7748 | Train Acc: 9.9648 | Val Loss: 0.7347 | Val Acc: 10.3167
[2] Train Loss: 0.6936 | Train Acc: 9.9648 | Val Loss: 0.6567 | Val Acc: 10.3167
[3] Train Loss: 0.6192 | Train Acc: 9.9648 | Val Loss: 0.5855 | Val Acc: 10.3167
[4] Train Loss: 0.5513 | Train Acc: 9.9648 | Val Loss: 0.5207 | Val Acc: 10.3167
[5] Train Loss: 0.4896 | Train Acc: 9.9648 | Val Loss: 0.4620 | Val Acc: 10.3167
[6] Train Loss: 0.4339 | Train Acc: 9.9648 | Val Loss: 0.4091 | Val Acc: 10.3167
[7] Train Loss: 0.3839 | Train Acc: 9.9648 | Val Loss: 0.3616 | Val Acc: 10.3167
[8] Train Loss: 0.3391 | Train Acc: 9.9648 | Val Loss: 0.3192 | Val Acc: 10.3167
[9] Train Loss: 0.2991 | Train Acc: 9.9648 | Val Loss: 0.2814 | Val Acc: 10.3167
[10] Train Loss: 0.2635 | Train Acc: 9.9648 | Val Loss: 0.2478 | Val Acc: 10.3167
