
[1] Train Loss: 10.5340 | Train Acc: 9.9796 | Val Loss: 10.4630 | Val Acc: 10.1833
[2] Train Loss: 10.3944 | Train Acc: 9.9796 | Val Loss: 10.3241 | Val Acc: 10.1833
[3] Train Loss: 10.2562 | Train Acc: 9.9796 | Val Loss: 10.1867 | Val Acc: 10.1833
[4] Train Loss: 10.1194 | Train Acc: 9.9796 | Val Loss: 10.0506 | Val Acc: 10.1833
[5] Train Loss: 9.9841 | Train Acc: 9.9796 | Val Loss: 9.9160 | Val Acc: 10.1833
[6] Train Loss: 9.8502 | Train Acc: 9.9796 | Val Loss: 9.7829 | Val Acc: 10.1833
[7] Train Loss: 9.7177 | Train Acc: 9.9796 | Val Loss: 9.6511 | Val Acc: 10.1833
[8] Train Loss: 9.5867 | Train Acc: 9.9796 | Val Loss: 9.5208 | Val Acc: 10.1833
[9] Train Loss: 9.4572 | Train Acc: 9.9796 | Val Loss: 9.3920 | Val Acc: 10.1833
[10] Train Loss: 9.3290 | Train Acc: 9.9796 | Val Loss: 9.2646 | Val Acc: 10.1833
