
[1] Train Loss: 10.6360 | Train Acc: 9.0963 | Val Loss: 10.6095 | Val Acc: 13.8667
[2] Train Loss: 10.5837 | Train Acc: 17.5352 | Val Loss: 10.5558 | Val Acc: 20.9833
[3] Train Loss: 10.5301 | Train Acc: 21.5556 | Val Loss: 10.5029 | Val Acc: 23.3667
[4] Train Loss: 10.4776 | Train Acc: 24.1556 | Val Loss: 10.4498 | Val Acc: 25.8667
[5] Train Loss: 10.4237 | Train Acc: 26.8944 | Val Loss: 10.3946 | Val Acc: 29.1333
[6] Train Loss: 10.3674 | Train Acc: 32.2148 | Val Loss: 10.3365 | Val Acc: 37.3333
[7] Train Loss: 10.3065 | Train Acc: 40.4222 | Val Loss: 10.2739 | Val Acc: 42.0500
[8] Train Loss: 10.2444 | Train Acc: 42.4019 | Val Loss: 10.2155 | Val Acc: 42.4500
[9] Train Loss: 10.1891 | Train Acc: 43.0241 | Val Loss: 10.1646 | Val Acc: 43.3833
[10] Train Loss: 10.1401 | Train Acc: 43.6537 | Val Loss: 10.1186 | Val Acc: 43.9667
