
[1] Train Loss: 7.9942 | Train Acc: 54.2981 | Val Loss: 7.2598 | Val Acc: 68.1500
[2] Train Loss: 6.6886 | Train Acc: 70.7148 | Val Loss: 6.1741 | Val Acc: 70.1167
[3] Train Loss: 5.6883 | Train Acc: 71.6389 | Val Loss: 5.2485 | Val Acc: 70.7667
[4] Train Loss: 4.8293 | Train Acc: 72.0259 | Val Loss: 4.4525 | Val Acc: 71.1000
[5] Train Loss: 4.0937 | Train Acc: 72.2019 | Val Loss: 3.7752 | Val Acc: 71.3333
[6] Train Loss: 3.4717 | Train Acc: 72.2481 | Val Loss: 3.2057 | Val Acc: 71.2667
[7] Train Loss: 2.9507 | Train Acc: 72.2093 | Val Loss: 2.7310 | Val Acc: 71.1667
[8] Train Loss: 2.5166 | Train Acc: 72.1833 | Val Loss: 2.3357 | Val Acc: 71.0833
[9] Train Loss: 2.1567 | Train Acc: 72.0333 | Val Loss: 2.0079 | Val Acc: 70.9000
[10] Train Loss: 1.8571 | Train Acc: 71.8519 | Val Loss: 1.7343 | Val Acc: 70.8000
