
[1] Train Loss: 10.3211 | Train Acc: 35.8981 | Val Loss: 10.0346 | Val Acc: 56.1500
[2] Train Loss: 9.7961 | Train Acc: 61.6667 | Val Loss: 9.6165 | Val Acc: 61.6333
[3] Train Loss: 9.4519 | Train Acc: 63.6778 | Val Loss: 9.3134 | Val Acc: 63.5833
[4] Train Loss: 9.1601 | Train Acc: 66.4370 | Val Loss: 9.0292 | Val Acc: 66.5000
[5] Train Loss: 8.8816 | Train Acc: 68.8519 | Val Loss: 8.7565 | Val Acc: 68.2333
[6] Train Loss: 8.6152 | Train Acc: 69.9741 | Val Loss: 8.4962 | Val Acc: 68.9833
[7] Train Loss: 8.3598 | Train Acc: 70.5907 | Val Loss: 8.2459 | Val Acc: 69.5667
[8] Train Loss: 8.1137 | Train Acc: 71.0259 | Val Loss: 8.0040 | Val Acc: 70.0500
[9] Train Loss: 7.8755 | Train Acc: 71.3278 | Val Loss: 7.7695 | Val Acc: 70.2833
[10] Train Loss: 7.6444 | Train Acc: 71.6074 | Val Loss: 7.5418 | Val Acc: 70.5667
