
[1] Train Loss: 0.0956 | Train Acc: 39.8907 | Val Loss: -0.0049 | Val Acc: 45.0833
[2] Train Loss: -0.0625 | Train Acc: 50.4185 | Val Loss: -0.0874 | Val Acc: 51.0167
[3] Train Loss: -0.1433 | Train Acc: 57.4093 | Val Loss: -0.1726 | Val Acc: 59.5500
[4] Train Loss: -0.2161 | Train Acc: 65.6352 | Val Loss: -0.2342 | Val Acc: 69.2500
[5] Train Loss: -0.2761 | Train Acc: 71.9944 | Val Loss: -0.2866 | Val Acc: 72.1167
[6] Train Loss: -0.3182 | Train Acc: 73.5667 | Val Loss: -0.3212 | Val Acc: 73.1500
[7] Train Loss: -0.3467 | Train Acc: 74.6093 | Val Loss: -0.3452 | Val Acc: 73.8833
[8] Train Loss: -0.3667 | Train Acc: 75.3352 | Val Loss: -0.3626 | Val Acc: 74.6667
[9] Train Loss: -0.3820 | Train Acc: 75.9204 | Val Loss: -0.3769 | Val Acc: 75.1833
[10] Train Loss: -0.3940 | Train Acc: 76.3241 | Val Loss: -0.3885 | Val Acc: 75.5000
