
[1] Train Loss: 0.6548 | Train Acc: 44.9889 | Val Loss: 0.5245 | Val Acc: 55.9333
[2] Train Loss: 0.4660 | Train Acc: 61.6648 | Val Loss: 0.4470 | Val Acc: 61.9000
[3] Train Loss: 0.4221 | Train Acc: 63.3704 | Val Loss: 0.4197 | Val Acc: 62.6667
[4] Train Loss: 0.4010 | Train Acc: 63.8963 | Val Loss: 0.4015 | Val Acc: 63.4000
[5] Train Loss: 0.6685 | Train Acc: 46.3296 | Val Loss: 1.0092 | Val Acc: 10.2167
[6] Train Loss: 1.0061 | Train Acc: 11.3407 | Val Loss: 1.0023 | Val Acc: 12.4500
[7] Train Loss: 0.9980 | Train Acc: 12.4148 | Val Loss: 0.9929 | Val Acc: 11.9000
[8] Train Loss: 0.9888 | Train Acc: 11.8056 | Val Loss: 0.9893 | Val Acc: 10.8500
[9] Train Loss: 0.9857 | Train Acc: 10.9259 | Val Loss: 0.9796 | Val Acc: 10.7833
[10] Train Loss: 0.9743 | Train Acc: 10.9352 | Val Loss: 0.9725 | Val Acc: 10.6500
