
[1] Train Loss: 3.6305 | Train Acc: 50.4926 | Val Loss: 3.1275 | Val Acc: 62.5167
[2] Train Loss: 2.7806 | Train Acc: 67.2778 | Val Loss: 2.4994 | Val Acc: 67.8833
[3] Train Loss: 2.2626 | Train Acc: 70.3074 | Val Loss: 2.0667 | Val Acc: 71.9500
[4] Train Loss: 1.8895 | Train Acc: 75.2537 | Val Loss: 1.7426 | Val Acc: 76.0667
[5] Train Loss: 1.6029 | Train Acc: 77.0685 | Val Loss: 1.4863 | Val Acc: 76.7833
[6] Train Loss: 1.3696 | Train Acc: 77.5481 | Val Loss: 1.2720 | Val Acc: 77.1833
[7] Train Loss: 1.1709 | Train Acc: 77.7241 | Val Loss: 1.0887 | Val Acc: 77.1167
[8] Train Loss: 1.0003 | Train Acc: 77.8574 | Val Loss: 0.9299 | Val Acc: 77.3500
[9] Train Loss: 0.8528 | Train Acc: 77.9333 | Val Loss: 0.7924 | Val Acc: 77.5333
[10] Train Loss: 0.7238 | Train Acc: 77.9630 | Val Loss: 0.6716 | Val Acc: 77.5000
