
[1] Train Loss: 0.6941 | Train Acc: 39.3352 | Val Loss: 0.4683 | Val Acc: 59.2667
[2] Train Loss: 0.3461 | Train Acc: 68.8519 | Val Loss: 0.2842 | Val Acc: 70.6500
[3] Train Loss: 0.2390 | Train Acc: 71.7815 | Val Loss: 0.2121 | Val Acc: 71.8167
[4] Train Loss: 0.1769 | Train Acc: 72.5296 | Val Loss: 0.1572 | Val Acc: 72.5500
[5] Train Loss: 0.1277 | Train Acc: 72.9907 | Val Loss: 0.1113 | Val Acc: 72.6500
[6] Train Loss: 0.0848 | Train Acc: 73.4204 | Val Loss: 0.0729 | Val Acc: 73.0833
[7] Train Loss: 0.0483 | Train Acc: 73.7315 | Val Loss: 0.0376 | Val Acc: 73.3167
[8] Train Loss: 0.0161 | Train Acc: 73.9722 | Val Loss: 0.0080 | Val Acc: 73.4000
[9] Train Loss: -0.0118 | Train Acc: 74.1407 | Val Loss: -0.0188 | Val Acc: 73.7000
[10] Train Loss: -0.0370 | Train Acc: 74.3167 | Val Loss: -0.0403 | Val Acc: 73.5833
