
[1] Train Loss: 0.2242 | Train Acc: 23.6741 | Val Loss: 0.1380 | Val Acc: 30.1667
[2] Train Loss: 0.0547 | Train Acc: 40.2815 | Val Loss: -0.0143 | Val Acc: 46.5000
[3] Train Loss: 0.0649 | Train Acc: 48.6981 | Val Loss: 0.4128 | Val Acc: 28.6000
[4] Train Loss: 0.4245 | Train Acc: 12.0685 | Val Loss: 0.4258 | Val Acc: 12.0000
[5] Train Loss: 0.4244 | Train Acc: 12.3352 | Val Loss: 0.4229 | Val Acc: 11.9500
[6] Train Loss: 0.4212 | Train Acc: 12.0296 | Val Loss: 0.4194 | Val Acc: 11.5667
[7] Train Loss: 0.4171 | Train Acc: 11.5963 | Val Loss: 0.4166 | Val Acc: 11.3333
[8] Train Loss: 0.4150 | Train Acc: 11.1500 | Val Loss: 0.4135 | Val Acc: 10.9167
[9] Train Loss: 0.4107 | Train Acc: 11.0593 | Val Loss: 0.4086 | Val Acc: 10.9000
[10] Train Loss: 0.4068 | Train Acc: 10.9370 | Val Loss: 0.4076 | Val Acc: 10.7500
