
[1] Train Loss: -0.1851 | Train Acc: 63.3667 | Val Loss: -0.2951 | Val Acc: 68.4000
[2] Train Loss: -0.4033 | Train Acc: 78.0463 | Val Loss: -0.4322 | Val Acc: 78.9500
[3] Train Loss: -0.4590 | Train Acc: 80.4648 | Val Loss: -0.4665 | Val Acc: 80.1833
[4] Train Loss: -0.4851 | Train Acc: 81.0463 | Val Loss: -0.4893 | Val Acc: 80.9333
[5] Train Loss: -0.5052 | Train Acc: 81.4796 | Val Loss: -0.5079 | Val Acc: 81.0833
[6] Train Loss: -0.5217 | Train Acc: 81.7778 | Val Loss: -0.5207 | Val Acc: 80.9167
[7] Train Loss: -0.5349 | Train Acc: 81.9222 | Val Loss: -0.5353 | Val Acc: 81.1500
[8] Train Loss: -0.5468 | Train Acc: 81.9759 | Val Loss: -0.5463 | Val Acc: 81.6500
[9] Train Loss: -0.5595 | Train Acc: 82.2574 | Val Loss: -0.5539 | Val Acc: 81.2333
[10] Train Loss: -0.5699 | Train Acc: 82.3630 | Val Loss: -0.5657 | Val Acc: 81.6000
