
[1] Train Loss: 10.5737 | Train Acc: 9.2944 | Val Loss: 10.5748 | Val Acc: 9.3000
[2] Train Loss: 10.5736 | Train Acc: 9.2944 | Val Loss: 10.5746 | Val Acc: 9.3000
[3] Train Loss: 10.5734 | Train Acc: 9.2981 | Val Loss: 10.5745 | Val Acc: 9.3000
[4] Train Loss: 10.5732 | Train Acc: 9.2981 | Val Loss: 10.5743 | Val Acc: 9.3167
[5] Train Loss: 10.5731 | Train Acc: 9.3000 | Val Loss: 10.5741 | Val Acc: 9.3167
[6] Train Loss: 10.5729 | Train Acc: 9.2963 | Val Loss: 10.5739 | Val Acc: 9.3167
[7] Train Loss: 10.5727 | Train Acc: 9.2907 | Val Loss: 10.5738 | Val Acc: 9.3167
[8] Train Loss: 10.5726 | Train Acc: 9.2889 | Val Loss: 10.5736 | Val Acc: 9.3333
[9] Train Loss: 10.5724 | Train Acc: 9.2815 | Val Loss: 10.5734 | Val Acc: 9.3500
[10] Train Loss: 10.5722 | Train Acc: 9.2796 | Val Loss: 10.5733 | Val Acc: 9.3667
