
[1] Train Loss: -0.0809 | Train Acc: 10.0407 | Val Loss: -0.0863 | Val Acc: 9.8333
[2] Train Loss: -0.0886 | Train Acc: 10.0611 | Val Loss: -0.0918 | Val Acc: 10.4500
[3] Train Loss: -0.0889 | Train Acc: 10.0889 | Val Loss: -0.0875 | Val Acc: 9.8333
[4] Train Loss: -0.0874 | Train Acc: 9.9241 | Val Loss: -0.0903 | Val Acc: 10.3500
[5] Train Loss: -0.0870 | Train Acc: 9.9389 | Val Loss: -0.0858 | Val Acc: 9.8333
[6] Train Loss: -0.0868 | Train Acc: 9.8741 | Val Loss: -0.0925 | Val Acc: 10.3167
[7] Train Loss: -0.0893 | Train Acc: 10.0870 | Val Loss: -0.0912 | Val Acc: 10.1833
[8] Train Loss: -0.0867 | Train Acc: 9.8556 | Val Loss: -0.0895 | Val Acc: 10.1833
[9] Train Loss: -0.0876 | Train Acc: 9.9519 | Val Loss: -0.0924 | Val Acc: 10.1833
[10] Train Loss: -0.0897 | Train Acc: 10.1444 | Val Loss: -0.0890 | Val Acc: 9.8333
