
[1] Train Loss: 0.9606 | Train Acc: 10.1574 | Val Loss: 0.9461 | Val Acc: 9.8333
[2] Train Loss: 0.9329 | Train Acc: 10.1648 | Val Loss: 0.9188 | Val Acc: 9.8333
[3] Train Loss: 0.9058 | Train Acc: 10.1074 | Val Loss: 0.8921 | Val Acc: 9.8333
[4] Train Loss: 0.8794 | Train Acc: 10.0796 | Val Loss: 0.8660 | Val Acc: 9.8333
[5] Train Loss: 0.8535 | Train Acc: 10.0185 | Val Loss: 0.8404 | Val Acc: 9.8333
[6] Train Loss: 0.8281 | Train Acc: 10.1852 | Val Loss: 0.8154 | Val Acc: 9.8333
[7] Train Loss: 0.8033 | Train Acc: 10.2722 | Val Loss: 0.7909 | Val Acc: 9.8333
[8] Train Loss: 0.7791 | Train Acc: 10.2630 | Val Loss: 0.7670 | Val Acc: 9.8333
[9] Train Loss: 0.7555 | Train Acc: 10.0593 | Val Loss: 0.7437 | Val Acc: 9.8333
[10] Train Loss: 0.7323 | Train Acc: 10.0185 | Val Loss: 0.7209 | Val Acc: 9.8333
