
[1] Train Loss: 0.3333 | Train Acc: 68.8611 | Val Loss: 0.1427 | Val Acc: 79.0333
[2] Train Loss: 0.0498 | Train Acc: 82.5667 | Val Loss: 0.0004 | Val Acc: 82.5667
[3] Train Loss: -0.0585 | Train Acc: 84.2185 | Val Loss: -0.0909 | Val Acc: 83.6667
[4] Train Loss: -0.1347 | Train Acc: 84.8222 | Val Loss: -0.1649 | Val Acc: 84.7333
[5] Train Loss: -0.1964 | Train Acc: 85.2370 | Val Loss: -0.2177 | Val Acc: 84.9667
[6] Train Loss: -0.2489 | Train Acc: 85.5019 | Val Loss: -0.2593 | Val Acc: 84.0833
[7] Train Loss: -0.2933 | Train Acc: 85.7037 | Val Loss: -0.3086 | Val Acc: 85.4500
[8] Train Loss: -0.3325 | Train Acc: 85.7000 | Val Loss: -0.3468 | Val Acc: 85.3167
[9] Train Loss: -0.3687 | Train Acc: 85.9667 | Val Loss: -0.3782 | Val Acc: 85.2667
[10] Train Loss: -0.4002 | Train Acc: 85.9741 | Val Loss: -0.4098 | Val Acc: 85.6167
