
[1] Train Loss: 0.6991 | Train Acc: 44.9019 | Val Loss: 0.5053 | Val Acc: 61.5667
[2] Train Loss: 0.4286 | Train Acc: 66.9278 | Val Loss: 0.3906 | Val Acc: 69.0667
[3] Train Loss: 0.3360 | Train Acc: 73.9296 | Val Loss: 0.3054 | Val Acc: 76.5833
[4] Train Loss: 0.2730 | Train Acc: 77.7741 | Val Loss: 0.2614 | Val Acc: 77.8500
[5] Train Loss: 0.2391 | Train Acc: 78.8037 | Val Loss: 0.2332 | Val Acc: 78.4500
[6] Train Loss: 0.2141 | Train Acc: 79.3648 | Val Loss: 0.2104 | Val Acc: 78.9167
[7] Train Loss: 0.1930 | Train Acc: 79.7352 | Val Loss: 0.1905 | Val Acc: 79.2167
[8] Train Loss: 0.1738 | Train Acc: 80.1333 | Val Loss: 0.1726 | Val Acc: 79.7667
[9] Train Loss: 0.1562 | Train Acc: 80.4407 | Val Loss: 0.1559 | Val Acc: 79.8333
[10] Train Loss: 0.1399 | Train Acc: 80.7130 | Val Loss: 0.1403 | Val Acc: 80.1000
