
[1] Train Loss: -0.1977 | Train Acc: 72.2074 | Val Loss: -0.4211 | Val Acc: 72.5833
[2] Train Loss: -0.5350 | Train Acc: 75.3019 | Val Loss: -0.6039 | Val Acc: 76.8667
[3] Train Loss: -0.6278 | Train Acc: 76.5056 | Val Loss: -0.5809 | Val Acc: 70.1000
[4] Train Loss: -0.6629 | Train Acc: 77.2185 | Val Loss: -0.6647 | Val Acc: 76.7833
[5] Train Loss: -0.6827 | Train Acc: 77.7259 | Val Loss: -0.6837 | Val Acc: 77.3500
[6] Train Loss: -0.6944 | Train Acc: 78.0722 | Val Loss: -0.6989 | Val Acc: 78.2667
[7] Train Loss: -0.7021 | Train Acc: 78.3537 | Val Loss: -0.7022 | Val Acc: 78.1833
[8] Train Loss: -0.7068 | Train Acc: 78.4352 | Val Loss: -0.6975 | Val Acc: 77.5000
[9] Train Loss: -0.7105 | Train Acc: 78.5537 | Val Loss: -0.7186 | Val Acc: 79.2000
[10] Train Loss: -0.7152 | Train Acc: 78.8444 | Val Loss: -0.7190 | Val Acc: 79.0667
