
[1] Train Loss: 0.9728 | Train Acc: 7.2833 | Val Loss: 0.9646 | Val Acc: 10.5000
[2] Train Loss: 0.9557 | Train Acc: 16.1426 | Val Loss: 0.9451 | Val Acc: 22.1167
[3] Train Loss: 0.9340 | Train Acc: 25.6833 | Val Loss: 0.9201 | Val Acc: 28.9167
[4] Train Loss: 0.9078 | Train Acc: 29.3759 | Val Loss: 0.8925 | Val Acc: 30.0333
[5] Train Loss: 0.8824 | Train Acc: 30.0204 | Val Loss: 0.8692 | Val Acc: 29.6667
[6] Train Loss: 0.8623 | Train Acc: 29.7296 | Val Loss: 0.8521 | Val Acc: 29.7000
[7] Train Loss: 0.8476 | Train Acc: 29.8167 | Val Loss: 0.8397 | Val Acc: 29.8167
[8] Train Loss: 0.8364 | Train Acc: 30.0981 | Val Loss: 0.8297 | Val Acc: 30.3333
[9] Train Loss: 0.8272 | Train Acc: 30.5685 | Val Loss: 0.8211 | Val Acc: 30.8000
[10] Train Loss: 0.8189 | Train Acc: 30.9722 | Val Loss: 0.8132 | Val Acc: 31.3000
