
[1] Train Loss: 10.5663 | Train Acc: 9.4556 | Val Loss: 10.5645 | Val Acc: 9.5667
[2] Train Loss: 10.5644 | Train Acc: 9.6741 | Val Loss: 10.5626 | Val Acc: 9.7667
[3] Train Loss: 10.5625 | Train Acc: 9.9111 | Val Loss: 10.5607 | Val Acc: 10.0000
[4] Train Loss: 10.5606 | Train Acc: 10.1370 | Val Loss: 10.5588 | Val Acc: 10.2167
[5] Train Loss: 10.5587 | Train Acc: 10.4093 | Val Loss: 10.5568 | Val Acc: 10.4667
[6] Train Loss: 10.5568 | Train Acc: 10.7148 | Val Loss: 10.5549 | Val Acc: 10.8500
[7] Train Loss: 10.5549 | Train Acc: 10.9944 | Val Loss: 10.5530 | Val Acc: 11.2167
[8] Train Loss: 10.5529 | Train Acc: 11.2259 | Val Loss: 10.5511 | Val Acc: 11.5000
[9] Train Loss: 10.5510 | Train Acc: 11.5185 | Val Loss: 10.5492 | Val Acc: 11.8667
[10] Train Loss: 10.5491 | Train Acc: 11.8315 | Val Loss: 10.5472 | Val Acc: 12.1333
