
[1] Train Loss: 3.3222 | Train Acc: 33.0481 | Val Loss: 2.9436 | Val Acc: 46.3333
[2] Train Loss: 2.6361 | Train Acc: 56.3556 | Val Loss: 2.3761 | Val Acc: 63.1000
[3] Train Loss: 2.1526 | Train Acc: 68.4537 | Val Loss: 1.9615 | Val Acc: 69.4167
[4] Train Loss: 1.7835 | Train Acc: 70.6556 | Val Loss: 1.6344 | Val Acc: 69.8500
[5] Train Loss: 1.4858 | Train Acc: 71.2352 | Val Loss: 1.3638 | Val Acc: 70.6000
[6] Train Loss: 1.2397 | Train Acc: 71.4481 | Val Loss: 1.1394 | Val Acc: 70.6667
[7] Train Loss: 1.0361 | Train Acc: 71.6556 | Val Loss: 0.9536 | Val Acc: 70.8500
[8] Train Loss: 0.8678 | Train Acc: 71.7056 | Val Loss: 0.8040 | Val Acc: 70.8500
[9] Train Loss: 0.7289 | Train Acc: 71.7741 | Val Loss: 0.6759 | Val Acc: 71.1667
[10] Train Loss: 0.6133 | Train Acc: 71.8130 | Val Loss: 0.5686 | Val Acc: 71.1833
