
[1] Train Loss: 0.5930 | Train Acc: 50.1296 | Val Loss: 0.3224 | Val Acc: 71.1667
[2] Train Loss: 0.2150 | Train Acc: 75.2444 | Val Loss: 0.1573 | Val Acc: 76.1667
[3] Train Loss: 0.1021 | Train Acc: 77.9796 | Val Loss: 0.0718 | Val Acc: 77.7667
[4] Train Loss: 0.0317 | Train Acc: 78.9870 | Val Loss: 0.0141 | Val Acc: 78.4000
[5] Train Loss: -0.0142 | Train Acc: 79.5944 | Val Loss: -0.0124 | Val Acc: 78.9500
[6] Train Loss: 0.1310 | Train Acc: 78.1185 | Val Loss: 0.4631 | Val Acc: 68.4833
[7] Train Loss: 0.5912 | Train Acc: 52.6407 | Val Loss: 0.6373 | Val Acc: 43.0667
[8] Train Loss: 0.6398 | Train Acc: 41.3185 | Val Loss: 0.6424 | Val Acc: 37.0833
[9] Train Loss: 0.6360 | Train Acc: 27.6722 | Val Loss: 0.6270 | Val Acc: 18.5833
[10] Train Loss: 0.6055 | Train Acc: 17.6296 | Val Loss: 0.5860 | Val Acc: 17.1500
