
[1] Train Loss: 0.2223 | Train Acc: 33.5204 | Val Loss: 0.0817 | Val Acc: 46.0333
[2] Train Loss: -0.0498 | Train Acc: 54.0519 | Val Loss: -0.1139 | Val Acc: 56.8167
[3] Train Loss: -0.1579 | Train Acc: 60.8426 | Val Loss: -0.1799 | Val Acc: 62.2333
[4] Train Loss: -0.2080 | Train Acc: 64.3130 | Val Loss: -0.2203 | Val Acc: 65.1167
[5] Train Loss: -0.2414 | Train Acc: 66.4926 | Val Loss: -0.2486 | Val Acc: 66.7000
[6] Train Loss: -0.2654 | Train Acc: 67.5574 | Val Loss: -0.2694 | Val Acc: 67.4167
[7] Train Loss: -0.2839 | Train Acc: 68.1444 | Val Loss: -0.2869 | Val Acc: 67.8667
[8] Train Loss: -0.3245 | Train Acc: 71.9796 | Val Loss: -0.3479 | Val Acc: 74.3333
[9] Train Loss: -0.3666 | Train Acc: 75.4444 | Val Loss: -0.3666 | Val Acc: 74.6833
[10] Train Loss: -0.3816 | Train Acc: 75.9037 | Val Loss: -0.3829 | Val Acc: 75.4000
