
[1] Train Loss: 3.9386 | Train Acc: 30.0259 | Val Loss: -0.2797 | Val Acc: 44.1833
[2] Train Loss: -0.1131 | Train Acc: 30.7796 | Val Loss: -0.2930 | Val Acc: 42.5333
[3] Train Loss: -0.1307 | Train Acc: 29.9481 | Val Loss: -0.2601 | Val Acc: 35.7333
[4] Train Loss: -0.1645 | Train Acc: 32.1296 | Val Loss: -0.2819 | Val Acc: 35.9667
[5] Train Loss: -0.0706 | Train Acc: 23.5648 | Val Loss: -0.2630 | Val Acc: 36.1667
[6] Train Loss: -0.1153 | Train Acc: 28.2370 | Val Loss: -0.2438 | Val Acc: 36.3167
[7] Train Loss: -0.1726 | Train Acc: 33.5907 | Val Loss: -0.2694 | Val Acc: 36.3167
[8] Train Loss: -0.1726 | Train Acc: 31.8111 | Val Loss: -0.2560 | Val Acc: 36.3167
[9] Train Loss: -0.0966 | Train Acc: 26.9926 | Val Loss: -0.2323 | Val Acc: 34.9833
[10] Train Loss: -0.1339 | Train Acc: 29.4833 | Val Loss: -0.2296 | Val Acc: 35.2000
