
[1] Train Loss: 10.5217 | Train Acc: 15.6796 | Val Loss: 10.4332 | Val Acc: 19.1500
[2] Train Loss: 10.3391 | Train Acc: 19.6259 | Val Loss: 10.2481 | Val Acc: 19.8667
[3] Train Loss: 10.1626 | Train Acc: 20.1519 | Val Loss: 10.0796 | Val Acc: 22.7000
[4] Train Loss: 9.9856 | Train Acc: 29.7981 | Val Loss: 9.8998 | Val Acc: 33.8833
[5] Train Loss: 9.8044 | Train Acc: 35.9019 | Val Loss: 9.7282 | Val Acc: 35.2000
[6] Train Loss: 9.6423 | Train Acc: 36.4519 | Val Loss: 9.5788 | Val Acc: 35.2667
[7] Train Loss: 9.4983 | Train Acc: 36.5907 | Val Loss: 9.4392 | Val Acc: 35.4667
[8] Train Loss: 9.3614 | Train Acc: 36.6833 | Val Loss: 9.3042 | Val Acc: 35.5667
[9] Train Loss: 9.2279 | Train Acc: 36.7852 | Val Loss: 9.1718 | Val Acc: 35.7333
[10] Train Loss: 9.0967 | Train Acc: 37.1315 | Val Loss: 9.0412 | Val Acc: 36.2333
