
[1] Train Loss: 2.9552 | Train Acc: 24.0352 | Val Loss: 2.7274 | Val Acc: 33.9000
[2] Train Loss: 2.4978 | Train Acc: 40.1037 | Val Loss: 2.3146 | Val Acc: 42.5333
[3] Train Loss: 2.1345 | Train Acc: 45.6648 | Val Loss: 1.9828 | Val Acc: 45.5500
[4] Train Loss: 1.8261 | Train Acc: 47.2389 | Val Loss: 1.6959 | Val Acc: 49.9667
[5] Train Loss: 1.5550 | Train Acc: 53.8648 | Val Loss: 1.4545 | Val Acc: 53.7833
[6] Train Loss: 1.3407 | Train Acc: 55.2852 | Val Loss: 1.2599 | Val Acc: 54.6500
[7] Train Loss: 1.1625 | Train Acc: 56.2722 | Val Loss: 1.0991 | Val Acc: 55.7667
[8] Train Loss: 1.0178 | Train Acc: 57.3241 | Val Loss: 0.9683 | Val Acc: 56.5833
[9] Train Loss: 0.8970 | Train Acc: 58.1704 | Val Loss: 0.8566 | Val Acc: 57.4333
[10] Train Loss: 0.7942 | Train Acc: 59.1111 | Val Loss: 0.7609 | Val Acc: 58.2167
