
[1] Train Loss: -0.0031 | Train Acc: 15.9130 | Val Loss: 0.0425 | Val Acc: 11.4500
[2] Train Loss: 0.0335 | Train Acc: 10.2296 | Val Loss: 0.0269 | Val Acc: 10.5500
[3] Train Loss: 0.0321 | Train Acc: 9.0907 | Val Loss: 0.0362 | Val Acc: 8.4500
[4] Train Loss: 0.0336 | Train Acc: 9.0722 | Val Loss: 0.0364 | Val Acc: 8.9000
[5] Train Loss: 0.0344 | Train Acc: 9.3074 | Val Loss: 0.0319 | Val Acc: 9.1333
[6] Train Loss: 0.0321 | Train Acc: 9.5963 | Val Loss: 0.0326 | Val Acc: 9.5500
[7] Train Loss: 0.0340 | Train Acc: 9.8944 | Val Loss: 0.0352 | Val Acc: 9.6500
[8] Train Loss: 0.0396 | Train Acc: 9.9074 | Val Loss: 0.0486 | Val Acc: 9.4333
[9] Train Loss: 0.0439 | Train Acc: 9.7185 | Val Loss: 0.0369 | Val Acc: 9.7167
[10] Train Loss: 0.0379 | Train Acc: 9.8926 | Val Loss: 0.0286 | Val Acc: 10.1333
