
[1] Train Loss: 0.5132 | Train Acc: 42.4278 | Val Loss: 0.3392 | Val Acc: 52.3833
[2] Train Loss: 0.2618 | Train Acc: 55.4222 | Val Loss: 0.2155 | Val Acc: 58.3167
[3] Train Loss: 0.1532 | Train Acc: 61.5389 | Val Loss: 0.1264 | Val Acc: 61.1333
[4] Train Loss: 0.0805 | Train Acc: 63.0148 | Val Loss: 0.0660 | Val Acc: 61.8333
[5] Train Loss: 0.0279 | Train Acc: 63.5944 | Val Loss: 0.0203 | Val Acc: 62.3333
[6] Train Loss: -0.0130 | Train Acc: 63.8833 | Val Loss: -0.0167 | Val Acc: 62.5000
[7] Train Loss: -0.0465 | Train Acc: 64.1463 | Val Loss: -0.0465 | Val Acc: 62.6833
[8] Train Loss: -0.0746 | Train Acc: 64.3685 | Val Loss: -0.0732 | Val Acc: 62.9167
[9] Train Loss: -0.0984 | Train Acc: 64.5093 | Val Loss: -0.0959 | Val Acc: 63.2333
[10] Train Loss: -0.1193 | Train Acc: 64.5648 | Val Loss: -0.1142 | Val Acc: 63.0833
