
[1] Train Loss: -0.0869 | Train Acc: 72.5778 | Val Loss: -0.3778 | Val Acc: 74.5833
[2] Train Loss: -0.4919 | Train Acc: 76.3093 | Val Loss: -0.5604 | Val Acc: 75.8000
[3] Train Loss: -0.6101 | Train Acc: 76.9907 | Val Loss: -0.6079 | Val Acc: 74.3833
[4] Train Loss: -0.6554 | Train Acc: 77.4296 | Val Loss: -0.6699 | Val Acc: 77.7833
[5] Train Loss: -0.6808 | Train Acc: 78.1185 | Val Loss: -0.6776 | Val Acc: 77.3000
[6] Train Loss: -0.6968 | Train Acc: 78.5630 | Val Loss: -0.6930 | Val Acc: 78.2000
[7] Train Loss: -0.7011 | Train Acc: 78.4315 | Val Loss: -0.7010 | Val Acc: 78.1167
[8] Train Loss: -0.7098 | Train Acc: 78.7648 | Val Loss: -0.7005 | Val Acc: 77.8333
[9] Train Loss: -0.7120 | Train Acc: 78.8093 | Val Loss: -0.6977 | Val Acc: 77.1667
[10] Train Loss: -0.7177 | Train Acc: 79.0111 | Val Loss: -0.6958 | Val Acc: 76.9833
