
[1] Train Loss: 10.5101 | Train Acc: 14.5074 | Val Loss: 10.4238 | Val Acc: 18.4167
[2] Train Loss: 10.3264 | Train Acc: 20.2463 | Val Loss: 10.2249 | Val Acc: 21.2167
[3] Train Loss: 10.1215 | Train Acc: 26.8278 | Val Loss: 10.0241 | Val Acc: 30.6167
[4] Train Loss: 9.9183 | Train Acc: 39.4574 | Val Loss: 9.8176 | Val Acc: 44.2333
[5] Train Loss: 9.7138 | Train Acc: 45.6296 | Val Loss: 9.6349 | Val Acc: 44.4833
[6] Train Loss: 9.5469 | Train Acc: 46.1019 | Val Loss: 9.4839 | Val Acc: 44.8500
[7] Train Loss: 9.4018 | Train Acc: 46.3537 | Val Loss: 9.3446 | Val Acc: 45.0167
[8] Train Loss: 9.2649 | Train Acc: 46.5111 | Val Loss: 9.2105 | Val Acc: 45.1500
[9] Train Loss: 9.1322 | Train Acc: 46.6722 | Val Loss: 9.0799 | Val Acc: 45.2833
[10] Train Loss: 9.0024 | Train Acc: 46.7704 | Val Loss: 8.9516 | Val Acc: 45.3500
