
[1] Train Loss: 0.9575 | Train Acc: 58.1093 | Val Loss: -0.2111 | Val Acc: 58.9833
[2] Train Loss: -0.2797 | Train Acc: 60.3370 | Val Loss: -0.3150 | Val Acc: 60.4000
[3] Train Loss: -0.3346 | Train Acc: 60.9407 | Val Loss: -0.3357 | Val Acc: 59.6833
[4] Train Loss: -0.3558 | Train Acc: 60.9352 | Val Loss: -0.3578 | Val Acc: 60.5667
[5] Train Loss: -0.3736 | Train Acc: 61.1167 | Val Loss: -0.3730 | Val Acc: 60.1667
[6] Train Loss: -0.3853 | Train Acc: 61.0815 | Val Loss: -0.3903 | Val Acc: 61.1500
[7] Train Loss: -0.3919 | Train Acc: 61.1463 | Val Loss: -0.3787 | Val Acc: 59.7333
[8] Train Loss: -0.3958 | Train Acc: 61.2296 | Val Loss: -0.3851 | Val Acc: 60.0500
[9] Train Loss: -0.3975 | Train Acc: 61.0870 | Val Loss: -0.3969 | Val Acc: 60.8833
[10] Train Loss: -0.3999 | Train Acc: 61.2333 | Val Loss: -0.3813 | Val Acc: 59.3167
