
[1] Train Loss: 0.6408 | Train Acc: 30.6037 | Val Loss: 0.4099 | Val Acc: 53.6500
[2] Train Loss: 0.2785 | Train Acc: 66.1463 | Val Loss: 0.2315 | Val Acc: 69.2000
[3] Train Loss: 0.1942 | Train Acc: 71.6759 | Val Loss: 0.1913 | Val Acc: 70.7667
[4] Train Loss: 0.1711 | Train Acc: 72.5556 | Val Loss: 0.1930 | Val Acc: 71.4333
[5] Train Loss: 0.6238 | Train Acc: 44.6000 | Val Loss: 0.8646 | Val Acc: 11.3000
[6] Train Loss: 0.8610 | Train Acc: 11.7593 | Val Loss: 0.8576 | Val Acc: 12.4833
[7] Train Loss: 0.8532 | Train Acc: 12.6444 | Val Loss: 0.8495 | Val Acc: 12.0333
[8] Train Loss: 0.8443 | Train Acc: 12.0944 | Val Loss: 0.8408 | Val Acc: 11.5833
[9] Train Loss: 0.8358 | Train Acc: 11.5648 | Val Loss: 0.8333 | Val Acc: 11.0833
[10] Train Loss: 0.8298 | Train Acc: 11.1907 | Val Loss: 0.8269 | Val Acc: 10.9000
