
[1] Train Loss: 0.7923 | Train Acc: 31.5630 | Val Loss: 0.6369 | Val Acc: 42.4333
[2] Train Loss: 0.5633 | Train Acc: 52.4278 | Val Loss: 0.4560 | Val Acc: 62.6167
[3] Train Loss: 0.4043 | Train Acc: 65.3907 | Val Loss: 0.3600 | Val Acc: 67.6167
[4] Train Loss: 0.3289 | Train Acc: 68.0907 | Val Loss: 0.3026 | Val Acc: 68.9333
[5] Train Loss: 0.2804 | Train Acc: 69.2444 | Val Loss: 0.2629 | Val Acc: 69.3833
[6] Train Loss: 0.2441 | Train Acc: 69.8852 | Val Loss: 0.2306 | Val Acc: 69.8000
[7] Train Loss: 0.2138 | Train Acc: 70.3796 | Val Loss: 0.2025 | Val Acc: 70.0667
[8] Train Loss: 0.1871 | Train Acc: 70.6870 | Val Loss: 0.1789 | Val Acc: 70.3167
[9] Train Loss: 0.1641 | Train Acc: 71.0185 | Val Loss: 0.1557 | Val Acc: 70.6167
[10] Train Loss: 0.1490 | Train Acc: 71.2278 | Val Loss: 0.1613 | Val Acc: 70.4833
