
[1] Train Loss: 0.6431 | Train Acc: 44.4537 | Val Loss: 0.5122 | Val Acc: 54.9500
[2] Train Loss: 0.4875 | Train Acc: 55.7093 | Val Loss: 0.4665 | Val Acc: 56.2333
[3] Train Loss: 0.5810 | Train Acc: 48.1185 | Val Loss: 0.9889 | Val Acc: 10.5333
[4] Train Loss: 0.9857 | Train Acc: 11.7463 | Val Loss: 0.9819 | Val Acc: 11.4167
[5] Train Loss: 0.9757 | Train Acc: 11.3500 | Val Loss: 0.9699 | Val Acc: 11.0500
[6] Train Loss: 0.9594 | Train Acc: 11.1667 | Val Loss: 0.9489 | Val Acc: 11.0000
[7] Train Loss: 0.9356 | Train Acc: 11.2019 | Val Loss: 0.9236 | Val Acc: 11.0000
[8] Train Loss: 0.9127 | Train Acc: 11.2444 | Val Loss: 0.9021 | Val Acc: 11.0000
[9] Train Loss: 0.9006 | Train Acc: 11.2148 | Val Loss: 0.8986 | Val Acc: 10.9333
[10] Train Loss: 0.8857 | Train Acc: 11.1648 | Val Loss: 0.8743 | Val Acc: 10.9333
