
[1] Train Loss: 0.3264 | Train Acc: 17.9574 | Val Loss: 0.3208 | Val Acc: 18.7000
[2] Train Loss: 0.3185 | Train Acc: 18.7537 | Val Loss: 0.3130 | Val Acc: 18.7667
[3] Train Loss: 0.3108 | Train Acc: 19.2259 | Val Loss: 0.3056 | Val Acc: 19.2500
[4] Train Loss: 0.3035 | Train Acc: 19.8259 | Val Loss: 0.2983 | Val Acc: 20.0167
[5] Train Loss: 0.2962 | Train Acc: 20.4556 | Val Loss: 0.2910 | Val Acc: 20.6333
[6] Train Loss: 0.2889 | Train Acc: 21.3074 | Val Loss: 0.2836 | Val Acc: 21.8167
[7] Train Loss: 0.2815 | Train Acc: 22.2833 | Val Loss: 0.2760 | Val Acc: 22.9000
[8] Train Loss: 0.2741 | Train Acc: 23.7519 | Val Loss: 0.2685 | Val Acc: 24.9333
[9] Train Loss: 0.2667 | Train Acc: 25.5704 | Val Loss: 0.2611 | Val Acc: 27.0167
[10] Train Loss: 0.2595 | Train Acc: 27.3907 | Val Loss: 0.2539 | Val Acc: 28.4833
