
[1] Train Loss: 3.7085 | Train Acc: 29.7407 | Val Loss: -0.1687 | Val Acc: 35.2333
[2] Train Loss: -0.1526 | Train Acc: 27.7019 | Val Loss: -0.1931 | Val Acc: 26.8500
[3] Train Loss: -0.0894 | Train Acc: 19.1963 | Val Loss: -0.1585 | Val Acc: 19.6000
[4] Train Loss: -0.1207 | Train Acc: 18.9870 | Val Loss: -0.1575 | Val Acc: 19.6000
[5] Train Loss: -0.0817 | Train Acc: 17.3630 | Val Loss: -0.1573 | Val Acc: 19.5667
[6] Train Loss: -0.1147 | Train Acc: 19.6296 | Val Loss: -0.1525 | Val Acc: 19.5167
[7] Train Loss: -0.1288 | Train Acc: 19.2407 | Val Loss: -0.1429 | Val Acc: 19.5833
[8] Train Loss: -0.1406 | Train Acc: 19.9500 | Val Loss: -0.1566 | Val Acc: 19.5333
[9] Train Loss: -0.1304 | Train Acc: 19.3352 | Val Loss: -0.1579 | Val Acc: 19.6167
[10] Train Loss: -0.1416 | Train Acc: 19.9148 | Val Loss: -0.1569 | Val Acc: 19.6000
