
[1] Train Loss: 8.8775 | Train Acc: 10.0926 | Val Loss: 8.8151 | Val Acc: 9.1667
[2] Train Loss: 8.7516 | Train Acc: 10.0926 | Val Loss: 8.6899 | Val Acc: 9.1667
[3] Train Loss: 8.6271 | Train Acc: 10.0926 | Val Loss: 8.5660 | Val Acc: 9.1667
[4] Train Loss: 8.5039 | Train Acc: 10.0926 | Val Loss: 8.4435 | Val Acc: 9.1667
[5] Train Loss: 8.3821 | Train Acc: 10.0926 | Val Loss: 8.3223 | Val Acc: 9.1667
[6] Train Loss: 8.2616 | Train Acc: 10.0926 | Val Loss: 8.2026 | Val Acc: 9.1667
[7] Train Loss: 8.1425 | Train Acc: 10.0926 | Val Loss: 8.0842 | Val Acc: 9.1667
[8] Train Loss: 8.0248 | Train Acc: 10.0926 | Val Loss: 7.9672 | Val Acc: 9.1667
[9] Train Loss: 7.9084 | Train Acc: 10.0926 | Val Loss: 7.8514 | Val Acc: 9.1667
[10] Train Loss: 7.7934 | Train Acc: 10.0926 | Val Loss: 7.7371 | Val Acc: 9.1667
