
[1] Train Loss: 1.4323 | Train Acc: 9.8685 | Val Loss: -0.0832 | Val Acc: 10.1333
[2] Train Loss: -0.0541 | Train Acc: 9.8926 | Val Loss: -0.0846 | Val Acc: 10.1333
[3] Train Loss: -0.0537 | Train Acc: 9.9037 | Val Loss: -0.0758 | Val Acc: 10.1333
[4] Train Loss: -0.0555 | Train Acc: 9.9222 | Val Loss: -0.0802 | Val Acc: 10.3167
[5] Train Loss: -0.0549 | Train Acc: 9.8611 | Val Loss: -0.0781 | Val Acc: 10.1333
[6] Train Loss: -0.0569 | Train Acc: 9.9000 | Val Loss: -0.0799 | Val Acc: 9.1667
[7] Train Loss: -0.0564 | Train Acc: 9.9963 | Val Loss: -0.0790 | Val Acc: 9.1667
[8] Train Loss: -0.0608 | Train Acc: 10.0611 | Val Loss: -0.0804 | Val Acc: 9.1667
[9] Train Loss: -0.0618 | Train Acc: 10.0926 | Val Loss: -0.0789 | Val Acc: 9.1667
[10] Train Loss: -0.0633 | Train Acc: 10.0926 | Val Loss: -0.0792 | Val Acc: 9.1667
