
[1] Train Loss: 8.0709 | Train Acc: 47.3852 | Val Loss: 7.3526 | Val Acc: 58.3500
[2] Train Loss: 6.7951 | Train Acc: 59.8907 | Val Loss: 6.2880 | Val Acc: 58.9500
[3] Train Loss: 5.8016 | Train Acc: 60.6852 | Val Loss: 5.3604 | Val Acc: 59.7667
[4] Train Loss: 4.9424 | Train Acc: 61.0537 | Val Loss: 4.5645 | Val Acc: 59.8833
[5] Train Loss: 4.2046 | Train Acc: 61.2370 | Val Loss: 3.8879 | Val Acc: 59.7333
[6] Train Loss: 3.5766 | Train Acc: 61.8333 | Val Loss: 3.3093 | Val Acc: 60.9500
[7] Train Loss: 3.0455 | Train Acc: 63.0611 | Val Loss: 2.8194 | Val Acc: 62.3167
[8] Train Loss: 2.5982 | Train Acc: 64.6241 | Val Loss: 2.4109 | Val Acc: 64.4500
[9] Train Loss: 2.2213 | Train Acc: 66.1481 | Val Loss: 2.0694 | Val Acc: 65.1333
[10] Train Loss: 1.9012 | Train Acc: 67.2481 | Val Loss: 1.7680 | Val Acc: 66.4667
