
[1] Train Loss: 7.9531 | Train Acc: 50.2926 | Val Loss: 7.1471 | Val Acc: 60.2000
[2] Train Loss: 6.5540 | Train Acc: 63.0870 | Val Loss: 5.9117 | Val Acc: 69.1500
[3] Train Loss: 5.4149 | Train Acc: 70.2093 | Val Loss: 4.9012 | Val Acc: 70.1333
[4] Train Loss: 4.4822 | Train Acc: 70.8352 | Val Loss: 4.0531 | Val Acc: 70.3667
[5] Train Loss: 3.7029 | Train Acc: 71.0796 | Val Loss: 3.3472 | Val Acc: 70.5333
[6] Train Loss: 3.0552 | Train Acc: 71.1593 | Val Loss: 2.7639 | Val Acc: 70.3500
[7] Train Loss: 2.5189 | Train Acc: 71.1259 | Val Loss: 2.2774 | Val Acc: 70.3500
[8] Train Loss: 2.0720 | Train Acc: 71.0815 | Val Loss: 1.8717 | Val Acc: 70.2667
[9] Train Loss: 1.7002 | Train Acc: 71.0759 | Val Loss: 1.5357 | Val Acc: 70.2167
[10] Train Loss: 1.3901 | Train Acc: 71.0074 | Val Loss: 1.2531 | Val Acc: 70.1000
