
[1] Train Loss: -0.0789 | Train Acc: 59.2481 | Val Loss: -0.2654 | Val Acc: 69.0167
[2] Train Loss: -0.3351 | Train Acc: 70.4259 | Val Loss: -0.3747 | Val Acc: 69.8833
[3] Train Loss: -0.4165 | Train Acc: 71.0759 | Val Loss: -0.4357 | Val Acc: 70.3833
[4] Train Loss: -0.4685 | Train Acc: 71.2889 | Val Loss: -0.4851 | Val Acc: 70.8333
[5] Train Loss: -0.5088 | Train Acc: 71.5167 | Val Loss: -0.5178 | Val Acc: 70.9500
[6] Train Loss: -0.5385 | Train Acc: 71.6204 | Val Loss: -0.5442 | Val Acc: 71.2167
[7] Train Loss: -0.5597 | Train Acc: 71.5778 | Val Loss: -0.5615 | Val Acc: 70.8667
[8] Train Loss: -0.5806 | Train Acc: 72.1167 | Val Loss: -0.5797 | Val Acc: 71.2833
[9] Train Loss: -0.5940 | Train Acc: 72.0963 | Val Loss: -0.5935 | Val Acc: 71.4500
[10] Train Loss: -0.6032 | Train Acc: 71.9519 | Val Loss: -0.5993 | Val Acc: 71.1833
