
[1] Train Loss: 9.7431 | Train Acc: 46.5241 | Val Loss: 9.2070 | Val Acc: 54.6167
[2] Train Loss: 8.6710 | Train Acc: 56.6889 | Val Loss: 8.2230 | Val Acc: 57.7500
[3] Train Loss: 7.7281 | Train Acc: 64.0056 | Val Loss: 7.3365 | Val Acc: 67.3333
[4] Train Loss: 6.9175 | Train Acc: 69.1074 | Val Loss: 6.5819 | Val Acc: 68.7000
[5] Train Loss: 6.2026 | Train Acc: 70.0648 | Val Loss: 5.8988 | Val Acc: 69.5667
[6] Train Loss: 5.5564 | Train Acc: 70.5852 | Val Loss: 5.2849 | Val Acc: 70.2500
[7] Train Loss: 4.9766 | Train Acc: 70.9444 | Val Loss: 4.7326 | Val Acc: 70.5500
[8] Train Loss: 4.4544 | Train Acc: 71.2444 | Val Loss: 4.2361 | Val Acc: 70.7500
[9] Train Loss: 3.9853 | Train Acc: 71.3037 | Val Loss: 3.7902 | Val Acc: 70.9167
[10] Train Loss: 3.5651 | Train Acc: 71.3963 | Val Loss: 3.3903 | Val Acc: 70.7500
