
[1] Train Loss: 0.4013 | Train Acc: 52.8056 | Val Loss: 0.1046 | Val Acc: 68.3333
[2] Train Loss: 0.4369 | Train Acc: 45.0370 | Val Loss: 0.6407 | Val Acc: 12.6667
[3] Train Loss: 0.5666 | Train Acc: 12.1704 | Val Loss: 0.4988 | Val Acc: 11.3167
[4] Train Loss: 0.4116 | Train Acc: 12.0796 | Val Loss: 0.3363 | Val Acc: 12.2167
[5] Train Loss: 0.3155 | Train Acc: 11.6963 | Val Loss: 0.3034 | Val Acc: 11.0000
[6] Train Loss: 0.2987 | Train Acc: 11.0315 | Val Loss: 0.2938 | Val Acc: 10.6833
[7] Train Loss: 0.2889 | Train Acc: 10.8333 | Val Loss: 0.2852 | Val Acc: 10.6000
[8] Train Loss: 0.2847 | Train Acc: 10.7074 | Val Loss: 0.2904 | Val Acc: 10.5167
[9] Train Loss: 0.2823 | Train Acc: 10.6741 | Val Loss: 0.2663 | Val Acc: 10.6000
[10] Train Loss: 0.2320 | Train Acc: 10.9833 | Val Loss: 0.2083 | Val Acc: 10.8667
