
[1] Train Loss: 10.5070 | Train Acc: 15.4796 | Val Loss: 10.4142 | Val Acc: 26.8167
[2] Train Loss: 10.3017 | Train Acc: 26.8148 | Val Loss: 10.1870 | Val Acc: 28.6333
[3] Train Loss: 10.0832 | Train Acc: 31.2870 | Val Loss: 9.9828 | Val Acc: 35.7500
[4] Train Loss: 9.8726 | Train Acc: 40.9352 | Val Loss: 9.7732 | Val Acc: 44.9000
[5] Train Loss: 9.6797 | Train Acc: 46.3944 | Val Loss: 9.6029 | Val Acc: 45.5167
[6] Train Loss: 9.5229 | Train Acc: 46.6500 | Val Loss: 9.4555 | Val Acc: 45.8500
[7] Train Loss: 9.3800 | Train Acc: 47.1315 | Val Loss: 9.3157 | Val Acc: 46.5000
[8] Train Loss: 9.2421 | Train Acc: 48.1981 | Val Loss: 9.1791 | Val Acc: 48.1000
[9] Train Loss: 9.1067 | Train Acc: 49.8722 | Val Loss: 9.0442 | Val Acc: 50.2333
[10] Train Loss: 8.9726 | Train Acc: 51.6056 | Val Loss: 8.9109 | Val Acc: 51.7833
