
[1] Train Loss: 0.3712 | Train Acc: 54.5722 | Val Loss: -0.2423 | Val Acc: 60.2167
[2] Train Loss: -0.3047 | Train Acc: 61.7556 | Val Loss: -0.3281 | Val Acc: 61.3667
[3] Train Loss: -0.3533 | Train Acc: 62.3019 | Val Loss: -0.3407 | Val Acc: 59.9833
[4] Train Loss: -0.3759 | Train Acc: 62.5389 | Val Loss: -0.3559 | Val Acc: 60.1833
[5] Train Loss: -0.3903 | Train Acc: 62.7556 | Val Loss: -0.3892 | Val Acc: 62.0667
[6] Train Loss: -0.4006 | Train Acc: 62.7648 | Val Loss: -0.4005 | Val Acc: 62.6167
[7] Train Loss: -0.4087 | Train Acc: 62.8963 | Val Loss: -0.4163 | Val Acc: 63.1833
[8] Train Loss: -0.4156 | Train Acc: 62.9722 | Val Loss: -0.4183 | Val Acc: 63.1000
[9] Train Loss: -0.4192 | Train Acc: 63.0185 | Val Loss: -0.4230 | Val Acc: 63.1500
[10] Train Loss: 0.0160 | Train Acc: 26.2389 | Val Loss: 0.1610 | Val Acc: 14.2667
