
[1] Train Loss: 0.0646 | Train Acc: 9.9926 | Val Loss: 0.0435 | Val Acc: 9.9500
[2] Train Loss: 0.0395 | Train Acc: 10.0056 | Val Loss: 0.0275 | Val Acc: 9.9500
[3] Train Loss: 0.0368 | Train Acc: 10.0056 | Val Loss: 0.0321 | Val Acc: 9.9500
[4] Train Loss: 0.0364 | Train Acc: 10.0056 | Val Loss: 0.0329 | Val Acc: 9.9500
[5] Train Loss: 0.0369 | Train Acc: 10.0056 | Val Loss: 0.0322 | Val Acc: 9.9500
[6] Train Loss: 0.0389 | Train Acc: 10.0056 | Val Loss: 0.0321 | Val Acc: 9.9500
[7] Train Loss: 0.0355 | Train Acc: 10.0056 | Val Loss: 0.0329 | Val Acc: 9.9500
[8] Train Loss: 0.0342 | Train Acc: 10.0056 | Val Loss: 0.0318 | Val Acc: 9.9500
[9] Train Loss: 0.0334 | Train Acc: 10.0056 | Val Loss: 0.0252 | Val Acc: 9.9500
[10] Train Loss: 0.0355 | Train Acc: 10.0056 | Val Loss: 0.0355 | Val Acc: 9.9500
