
[1] Train Loss: 6.9459 | Train Acc: 42.9741 | Val Loss: 5.4780 | Val Acc: 54.0500
[2] Train Loss: 4.4753 | Train Acc: 63.6222 | Val Loss: 3.6877 | Val Acc: 66.5000
[3] Train Loss: 3.1091 | Train Acc: 68.4093 | Val Loss: 2.6381 | Val Acc: 68.1667
[4] Train Loss: 2.2647 | Train Acc: 69.6056 | Val Loss: 1.9570 | Val Acc: 69.4000
[5] Train Loss: 1.7013 | Train Acc: 70.9000 | Val Loss: 1.4921 | Val Acc: 70.8000
[6] Train Loss: 1.3125 | Train Acc: 72.1630 | Val Loss: 1.1681 | Val Acc: 72.4333
[7] Train Loss: 1.0381 | Train Acc: 73.3148 | Val Loss: 0.9344 | Val Acc: 73.3500
[8] Train Loss: 0.8364 | Train Acc: 74.2056 | Val Loss: 0.7595 | Val Acc: 74.4500
[9] Train Loss: 0.6841 | Train Acc: 74.9574 | Val Loss: 0.6280 | Val Acc: 75.1667
[10] Train Loss: 0.5667 | Train Acc: 75.4111 | Val Loss: 0.5220 | Val Acc: 75.5333
