
[1] Train Loss: 8.3930 | Train Acc: 14.0019 | Val Loss: 7.8199 | Val Acc: 26.2000
[2] Train Loss: 7.2521 | Train Acc: 29.5389 | Val Loss: 6.7638 | Val Acc: 34.1667
[3] Train Loss: 6.2742 | Train Acc: 37.5796 | Val Loss: 5.8598 | Val Acc: 37.3833
[4] Train Loss: 5.4441 | Train Acc: 39.7426 | Val Loss: 5.1001 | Val Acc: 39.5500
[5] Train Loss: 4.7465 | Train Acc: 40.6019 | Val Loss: 4.4530 | Val Acc: 39.9833
[6] Train Loss: 4.1488 | Train Acc: 41.1204 | Val Loss: 3.8982 | Val Acc: 40.6833
[7] Train Loss: 3.6358 | Train Acc: 42.4981 | Val Loss: 3.4202 | Val Acc: 42.7833
[8] Train Loss: 3.1941 | Train Acc: 44.7907 | Val Loss: 3.0095 | Val Acc: 45.3833
[9] Train Loss: 2.8139 | Train Acc: 46.6426 | Val Loss: 2.6553 | Val Acc: 47.0333
[10] Train Loss: 2.4863 | Train Acc: 47.9259 | Val Loss: 2.3501 | Val Acc: 48.0500
