
[1] Train Loss: 0.3240 | Train Acc: 71.8926 | Val Loss: 0.1596 | Val Acc: 79.2167
[2] Train Loss: 0.0804 | Train Acc: 80.2685 | Val Loss: 0.0287 | Val Acc: 79.9500
[3] Train Loss: -0.0304 | Train Acc: 81.1463 | Val Loss: -0.0671 | Val Acc: 80.6167
[4] Train Loss: -0.1151 | Train Acc: 81.5926 | Val Loss: -0.1439 | Val Acc: 80.9333
[5] Train Loss: -0.1859 | Train Acc: 81.8333 | Val Loss: -0.2089 | Val Acc: 81.0833
[6] Train Loss: -0.2443 | Train Acc: 81.9741 | Val Loss: -0.2552 | Val Acc: 80.3500
[7] Train Loss: -0.2943 | Train Acc: 81.9519 | Val Loss: -0.3094 | Val Acc: 81.3833
[8] Train Loss: -0.3391 | Train Acc: 82.1611 | Val Loss: -0.3471 | Val Acc: 81.2167
[9] Train Loss: -0.3749 | Train Acc: 81.8685 | Val Loss: -0.3848 | Val Acc: 81.2167
[10] Train Loss: -0.4114 | Train Acc: 82.2111 | Val Loss: -0.4189 | Val Acc: 81.4333
