
[1] Train Loss: 10.3558 | Train Acc: 28.3204 | Val Loss: 10.1452 | Val Acc: 32.5000
[2] Train Loss: 9.9677 | Train Acc: 37.6463 | Val Loss: 9.7936 | Val Acc: 42.2000
[3] Train Loss: 9.5965 | Train Acc: 52.9000 | Val Loss: 9.4269 | Val Acc: 55.0833
[4] Train Loss: 9.2658 | Train Acc: 58.1833 | Val Loss: 9.1261 | Val Acc: 58.9000
[5] Train Loss: 8.9759 | Train Acc: 61.0944 | Val Loss: 8.8446 | Val Acc: 60.7833
[6] Train Loss: 8.6911 | Train Acc: 65.8130 | Val Loss: 8.5530 | Val Acc: 68.3333
[7] Train Loss: 8.4082 | Train Acc: 69.9574 | Val Loss: 8.2861 | Val Acc: 69.2833
[8] Train Loss: 8.1518 | Train Acc: 70.6648 | Val Loss: 8.0379 | Val Acc: 69.8500
[9] Train Loss: 7.9091 | Train Acc: 71.0259 | Val Loss: 7.8001 | Val Acc: 70.2333
[10] Train Loss: 7.6754 | Train Acc: 71.2759 | Val Loss: 7.5705 | Val Acc: 70.5000
