
[1] Train Loss: -0.1835 | Train Acc: 34.9167 | Val Loss: 0.0369 | Val Acc: 10.3167
[2] Train Loss: 0.0298 | Train Acc: 9.8093 | Val Loss: 0.0249 | Val Acc: 10.3000
[3] Train Loss: 0.0207 | Train Acc: 9.8463 | Val Loss: 0.0198 | Val Acc: 9.5667
[4] Train Loss: 0.0199 | Train Acc: 9.8741 | Val Loss: 0.0188 | Val Acc: 9.5833
[5] Train Loss: 0.0172 | Train Acc: 9.9389 | Val Loss: 0.0188 | Val Acc: 9.8333
[6] Train Loss: 0.0176 | Train Acc: 9.9722 | Val Loss: 0.0180 | Val Acc: 10.0333
[7] Train Loss: 0.0207 | Train Acc: 10.5315 | Val Loss: 0.0217 | Val Acc: 10.6167
[8] Train Loss: 0.0137 | Train Acc: 9.9759 | Val Loss: 0.0112 | Val Acc: 9.5667
[9] Train Loss: 0.0148 | Train Acc: 10.1463 | Val Loss: 0.0166 | Val Acc: 10.3167
[10] Train Loss: 0.0144 | Train Acc: 10.1519 | Val Loss: 0.0154 | Val Acc: 10.3167
