
[1] Train Loss: 8.4577 | Train Acc: 18.8741 | Val Loss: 7.9201 | Val Acc: 29.0000
[2] Train Loss: 7.3857 | Train Acc: 37.3222 | Val Loss: 6.9379 | Val Acc: 51.3167
[3] Train Loss: 6.5005 | Train Acc: 56.3704 | Val Loss: 6.1436 | Val Acc: 56.9500
[4] Train Loss: 5.7706 | Train Acc: 58.7019 | Val Loss: 5.4547 | Val Acc: 60.3667
[5] Train Loss: 5.1182 | Train Acc: 65.6000 | Val Loss: 4.8414 | Val Acc: 66.8833
[6] Train Loss: 4.5472 | Train Acc: 67.7296 | Val Loss: 4.3048 | Val Acc: 67.4500
[7] Train Loss: 4.0408 | Train Acc: 68.1222 | Val Loss: 3.8259 | Val Acc: 67.6333
[8] Train Loss: 3.5893 | Train Acc: 68.2870 | Val Loss: 3.3994 | Val Acc: 67.8000
[9] Train Loss: 3.1892 | Train Acc: 68.4315 | Val Loss: 3.0219 | Val Acc: 67.8333
[10] Train Loss: 2.8339 | Train Acc: 68.4556 | Val Loss: 2.6856 | Val Acc: 67.9000
