
[1] Train Loss: 0.6960 | Train Acc: 47.0685 | Val Loss: 0.5244 | Val Acc: 59.5167
[2] Train Loss: 0.4236 | Train Acc: 68.8333 | Val Loss: 0.3855 | Val Acc: 69.7500
[3] Train Loss: 0.3449 | Train Acc: 71.8019 | Val Loss: 0.3361 | Val Acc: 71.0333
[4] Train Loss: 0.3059 | Train Acc: 72.6833 | Val Loss: 0.3002 | Val Acc: 72.2500
[5] Train Loss: 0.2601 | Train Acc: 76.1741 | Val Loss: 0.2426 | Val Acc: 77.1667
[6] Train Loss: 0.2168 | Train Acc: 78.5981 | Val Loss: 0.2102 | Val Acc: 78.5667
[7] Train Loss: 0.1897 | Train Acc: 79.4296 | Val Loss: 0.1868 | Val Acc: 78.9833
[8] Train Loss: 0.1685 | Train Acc: 79.8815 | Val Loss: 0.1683 | Val Acc: 79.1333
[9] Train Loss: 0.1502 | Train Acc: 80.1648 | Val Loss: 0.1501 | Val Acc: 79.6500
[10] Train Loss: 0.1333 | Train Acc: 80.4093 | Val Loss: 0.1340 | Val Acc: 79.7333
